Augustów;ul. Turystyczna 19;16-300 Augustów
Białowieża;ul. Wojciechówka 4;17-230 Białowieża
Bielsk;ul. Studziwodzka 39;17-100 Bielsk Podlaski
Borki;ul. Dworcowa 8A;11-612 Kruklanki
Browsk;Gruszki 10;17-220 Narewka
Czarna Białostocka;ul. Marszałkowska 27;16-020 Czarna Białostocka
Czerwony Dwór;Czerwony Dwór 13;19-411 Świętajno
Dojlidy;Al. Tysiąclecia Państwa Polskiego 75;15-111 Białystok
Drygały;ul. Grunwaldzka 22;Drygały;12-230 Biała Piska
Ełk;Mrozy Wielkie 21;19-301 Mrozy Wielkie
Giżycko;ul. Leśna 2;11-500 Giżycko
Głęboki Bród;Głęboki Bród 33;16-503 Giby
Gołdap;ul. Leśników 1;19-500 Gołdap
Hajnówka;ul. Kolejki Leśne 12;17-200 Hajnówka
Knyszyn;Al. Niepodległości 31;19-100 Mońki
Krynki;Poczopek 6D;16-113 Szudziałowo
Łomża;ul. Nowogrodzka 60;18-400 Łomża
Maskulińskie;ul. Rybacka 1;12-220 Ruciane-Nida
Nowogród;Dębniki 80;18-416 Zbójna
Nurzec;ul. Akacjowa 3;17-330 Nurzec-Stacja
Olecko;ul. Kościuszki 32;19-400 Olecko
Pisz;ul. Gdańska 24;12-200 Pisz
Płaska;ul. Zielona 2;Sucha Rzeczka;16-326 Płaska
Pomorze;Pomorze 8G;16-506 Giby
Rajgród;Tama 2;19-206 Tama
Rudka;ul. Olendzka 31;17-123 Rudka
Supraśl;ul. Podsupraśl 8;16-030 Supraśl
Suwałki;ul. Wojska Polskiego 1;16-400 Suwałki
Szczebra;Szczebra 58;16-304 Nowinka
Waliły;ul. Białostocka 3;Waliły-Stacja;16-040 Gródek
Żednia;Żednia 5;16-050 Michałowo
Cewice;ul. Wincentego Witosa 39;84-312 Cewice
Choczewo;ul. Leśna 7;84-210 Choczewo
Elbląg;ul. Marymoncka 5;82-300 Elbląg
Gdańsk;ul. Morska 200;81-006 Gdynia
Kaliska;ul. Długa 64;83-260 Kaliska
Kartuzy;Burchardztwo 181;83-300 Kartuzy
Kolbudy;ul. Osiedle Leśników 15;83-050 Kolbudy
Kościerzyna;ul. Leśna 1;83-400 Kościerzyna
Kwidzyn;ul. Braterstwa Narodów 63;82-500 Kwidzyn
Lębork;ul. Wojska Polskiego 32;84-300 Lębork
Lipusz;ul. Wybickiego 33;83-424 Lipusz
Lubichowo;ul. Leśna 12;83-240 Lubichowo
Starogard;ul. Gdańska 12;83-200 Starogard Gdański
Strzebielino;ul. ks. Majkowskiego 10;84-250 Gniewino
Wejherowo;ul. Prusa 2;84-200 Wejherowo
Andrychów;ul. Słowackiego 2E;34-120 Andrychów
Bielsko;ul. Cieszyńska 217;43-382 Bielsko-Biała
Brynek;ul. Parkowa 1;42-690 Tworóg
Brzeg;ul. Jana Kilińskiego 1;49-300 Brzeg
Gidle;ul. Pławna 25;97-540 Gidle
Herby;ul. Lubliniecka 1;42-284 Herby
Chrzanów;ul. Mickiewicza 31;32-500 Chrzanów
Jeleśnia;ul. Suska 5;34-340 Jeleśnia
Katowice;ul. Kijowska 38A;40-754 Katowice
Kędzierzyn;Stara Kuźnia;ul. Brzozowa 48;47-246 Kotlarnia
Kluczbork;ul. Adama Mickiewicza 8;46-200 Kluczbork
Kłobuck;ul. Staszica 32;42-100 Kłobuck
Kobiór;ul. Leśna 2;43-210 Kobiór
Zawadzkie;ul. Strzelecka 6;47-120 Zawadzkie
Koniecpol;ul. Leśna 1;42-230 Koniecpol
Koszęcin;ul. Sobieskiego 1;42-286 Koszęcin
Kup;ul. 1 Maja 9;46-082 Kup
Lubliniec;ul. Wyszyńskiego 11;42-700 Lubliniec
Namysłów;ul. Oleśnicka 17;46-100 Namysłów
Olesno;ul. Leśna 1;46-300 Olesno
Olkusz;ul. Pakuska 24;32-300 Olkusz
Prudnik;ul. Dąbrowskiego 2;48-200 Prudnik
Prószków;ul. Opolska 11;46-060 Prószków
Rudy Raciborskie;ul. Cystersów 4;47-430 Rudy
Rudziniec;ul. Leśna 7;44-160 Rudziniec
Rybnik;ul. Kościuszki 36;44-200 Rybnik
Siewierz;ul. Czysta 3;42-470 Siewierz
Strzelce Opolskie;ul. Marka 1;47-100 Strzelce Opolskie
Sucha;ul. Zamkowa 1;34-200 Sucha Beskidzka
Świerklaniec;ul. Piekarska 35;42-600 Tarnowskie Góry 
